t,x,y,vx,vy
5.808333333333334,174.25,124.99448507465277,30.0,-6.960292083333336
5.816666666666666,174.5,124.93614213194445,30.0,-7.042014166666661
5.825,174.75,124.877118171875,30.0,-7.12373625
5.833333333333333,175.0,124.81741319444444,30.0,-7.2054583333333255
5.841666666666667,175.25,124.75702719965275,30.0,-7.287180416666665
5.85,175.5,124.69596018750005,30.0,-7.36890249999999
5.858333333333333,175.75,124.63421215798613,30.0,-7.4506245833333296
5.866666666666666,176.0,124.57178311111113,30.0,-7.532346666666662
5.875,176.25,124.508673046875,30.0,-7.614068749999994
5.883333333333334,176.5,124.44488196527777,30.0,-7.695790833333334
5.891666666666667,176.75,124.38040986631944,30.0,-7.777512916666666
5.9,177.0,124.31525675,30.0,-7.859234999999998
5.908333333333333,177.25,124.24942261631946,30.0,-7.9409570833333305
5.916666666666667,177.5,124.18290746527782,30.0,-8.022679166666663
5.925,177.75,124.11571129687502,30.0,-8.104401249999995
5.933333333333334,178.0,124.04783411111111,30.0,-8.186123333333335
5.941666666666666,178.25,123.9792759079861,30.0,-8.26784541666666
5.95,178.5,123.9100366875,30.0,-8.3495675
5.958333333333333,178.75,123.84011644965278,30.0,-8.431289583333324
5.966666666666667,179.0,123.76951519444444,30.0,-8.513011666666664
5.975,179.25,123.69823292187502,30.0,-8.594733749999996
5.983333333333333,179.5,123.62626963194447,30.0,-8.676455833333328
5.991666666666666,179.75,123.55362532465278,30.0,-8.75817791666666
6.0,180.0,123.4803,30.0,-8.8399
6.008333333333334,180.25,123.40629365798611,30.0,-8.921622083333332
6.016666666666667,180.5,123.33160629861109,30.0,-9.003344166666665
6.025,180.75,123.256237921875,30.0,-9.085066249999997
6.033333333333333,181.0,123.1801885277778,30.0,-9.16678833333333
6.041666666666667,181.25,123.10345811631947,30.0,-9.248510416666669
6.05,181.5,123.02604668750001,30.0,-9.330232499999994
6.058333333333334,181.75,122.94795424131945,30.0,-9.411954583333333
6.066666666666666,182.0,122.86918077777779,30.0,-9.493676666666659
6.075,182.25,122.78972629687499,30.0,-9.575398749999998
6.083333333333333,182.5,122.70959079861109,30.0,-9.65712083333333
6.091666666666667,182.75,122.62877428298611,30.0,-9.738842916666663
6.1,183.0,122.54727675000004,30.0,-9.820564999999995
6.108333333333333,183.25,122.4650981996528,30.0,-9.902287083333327
6.116666666666666,183.5,122.38223863194446,30.0,-9.98400916666666
6.125,183.75,122.29869804687502,30.0,-10.065731249999999
6.133333333333334,184.0,122.21447644444444,30.0,-10.147453333333331
6.141666666666667,184.25,122.12957382465277,30.0,-10.229175416666664
6.15,184.5,122.04399018749999,30.0,-10.310897500000003
6.158333333333333,184.75,121.95772553298616,30.0,-10.392619583333328
6.166666666666667,185.0,121.87077986111115,30.0,-10.474341666666668
6.175,185.25,121.78315317187503,30.0,-10.556063749999993
6.183333333333334,185.5,121.69484546527778,30.0,-10.637785833333332
6.191666666666666,185.75,121.60585674131946,30.0,-10.719507916666657
6.2,186.0,121.516187,30.0,-10.801229999999997
6.208333333333333,186.25,121.42583624131942,30.0,-10.882952083333329
6.216666666666667,186.5,121.33480446527778,30.0,-10.964674166666661
6.225,186.75,121.24309167187502,30.0,-11.046396249999994
6.233333333333333,187.0,121.15069786111113,30.0,-11.128118333333333
6.241666666666666,187.25,121.05762303298613,30.0,-11.209840416666658
6.25,187.5,120.9638671875,30.0,-11.291562499999998
6.258333333333334,187.75,120.86943032465277,30.0,-11.373284583333337
6.266666666666667,188.0,120.77431244444443,30.0,-11.455006666666662
